City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Todos Santos,MX,78.01,few clouds,23.45,-110.2167,Hotel California Todos Santos
4,Ulladulla,AU,82.76,broken clouds,-35.35,150.4667,Sandpiper Motel
5,Casa Nova,BR,76.98,overcast clouds,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
6,Luanda,AO,76.62,overcast clouds,-8.8368,13.2343,Hotel Fórum
12,Dingle,PH,82.06,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
14,Tautira,PF,75.22,moderate rain,-17.7333,-149.15,Pension Oaoa
16,Nelson Bay,AU,85.28,light rain,-32.7167,152.15,Mantra Nelson Bay
19,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
23,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
31,Sinnamary,GF,77.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
34,Norsup,VU,81.77,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
36,Poum,NC,75.88,clear sky,-20.2333,164.0167,Gîte kajeon
37,Acajutla,SV,78.4,overcast clouds,13.5928,-89.8275,asi es
39,Dondo,MZ,80.92,scattered clouds,-19.6094,34.7431,Arco Iris
40,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Uncle Junior Robert
48,Kochi,IN,85.98,broken clouds,9.9399,76.2602,Hotel Abad
52,Sur,OM,85.32,clear sky,22.5667,59.5289,Sur Plaza Hotel
54,Saint-Philippe,RE,82.47,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Sharjah,AE,91.56,few clouds,25.3573,55.4033,Swiss Belhotel Sharjah
58,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
59,Tabou,CI,76.05,light rain,4.423,-7.3528,hotêl doufoulougou
61,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
65,Hervey Bay,AU,82.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
66,Hithadhoo,MV,82.69,overcast clouds,-0.6,73.0833,Scoop Guest House
70,Mareeba,AU,89.31,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
72,Sorong,ID,83.41,broken clouds,-0.8833,131.25,waigo splash hotel
80,Garissa,KE,79.75,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
81,Tambun,ID,91.44,scattered clouds,-6.2641,107.0712,Metland Hotel Bekasi
82,Ishigaki,JP,76.48,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
83,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
87,Atuona,PF,77.88,light rain,-9.8,-139.0333,Villa Enata
93,Bubaque,GW,83.88,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
94,Port Blair,IN,78.53,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
100,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
104,Port Moresby,PG,82.92,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
116,Ullal,IN,83.35,light rain,12.8,74.85,AK INTERNATIONAL LODGE
119,Aloleng,PH,86.94,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
120,Kalmunai,LK,86.22,few clouds,7.4167,81.8167,VS Villa
130,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
131,Sao Filipe,CV,79.11,clear sky,14.8961,-24.4956,Hotel Xaguate
133,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
135,Mana,GF,77.95,overcast clouds,5.6592,-53.7767,LE SAMANA
140,Daru,PG,83.01,scattered clouds,-9.0763,143.2092,Daru Lodge
146,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
151,Bandarbeyla,SO,80.89,scattered clouds,9.4942,50.8122,JABIR HOTEL
152,Basoko,CD,75.38,broken clouds,1.2391,23.616,Jackyna Hotel
153,San Patricio,US,80.46,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
157,Antalaha,MG,81.68,broken clouds,-14.9003,50.2788,Hotel Vitasoa
165,Banda Aceh,ID,83.62,broken clouds,5.5577,95.3222,Sulthan Hotel International
168,Lazaro Cardenas,MX,77.29,overcast clouds,17.9583,-102.2,quinta antigua
169,Juba,SS,78.64,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
172,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
178,Koumac,NC,75.72,clear sky,-20.5667,164.2833,Le Monitel
182,Mansa,IN,87.13,clear sky,29.9833,75.3833,STARiHOTEL Mansa
184,Cairns,AU,93.94,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
187,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
189,Djibo,BF,82.6,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
193,Paka,MY,85.03,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
199,East London,ZA,76.14,broken clouds,-33.0153,27.9116,Tu Casa
202,Kolokani,ML,75.06,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
205,Kieta,PG,83.43,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
211,Murud,IN,84.65,scattered clouds,18.3258,72.965,On Point Plaza
214,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
218,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
222,Alappuzha,IN,82.99,light rain,9.49,76.3264,Panoramic Sea Resort
228,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
242,Luganville,VU,82.11,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
243,Tezu,IN,84.06,clear sky,27.9167,96.1667,Circuit House
246,Fuerte Olimpo,PY,81.54,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
255,Kuching,MY,84.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
259,Acarau,BR,78.24,overcast clouds,-2.8856,-40.12,castelo pizzaria
266,Sulangan,PH,83.39,overcast clouds,11.1373,123.7228,Maia's Beach Resort
267,Magpet,PH,81.64,light rain,7.1119,125.1133,Sitio Maupot Family Resort
270,Cabo San Lucas,MX,78.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
272,Tiquisate,GT,78.62,broken clouds,14.2833,-91.3667,Hotel Small Ville - Tiquisate
274,Xai-Xai,MZ,79.25,clear sky,-25.0519,33.6442,Complexo da Familia
275,Taveta,KE,77.83,scattered clouds,-3.3963,37.6736,Challa Hotel
276,Victoria,HK,76.24,broken clouds,22.2855,114.1577,Mini Hotel Central
278,Aden,YE,84.49,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
279,Sri Aman,MY,92.25,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
284,Majene,ID,86.11,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
285,Bengkulu,ID,83.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
287,Vavuniya,LK,89.64,scattered clouds,8.7514,80.4971,Thampa Hotel
288,Mayumba,GA,77.76,light rain,-3.432,10.6554,LIKWALE LODGE
291,Kavieng,PG,84.45,light rain,-2.5744,150.7967,Nusa Island Retreat
293,Iranduba,BR,77.32,light rain,-3.2847,-60.1861,Evolução Ecolodge
294,Meulaboh,ID,84.94,broken clouds,4.1363,96.1285,Kost Pria
295,Komatipoort,ZA,85.91,clear sky,-25.4332,31.9548,Kruger View Backpackers
296,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
298,Ugoofaaru,MV,81.59,broken clouds,5.6667,73.0,Ungoofaaru Inn
299,Bontang,ID,87.46,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
308,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
311,Faanui,PF,77.7,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
313,Mkushi,ZM,81.66,clear sky,-13.6202,29.3939,Mkushi Police Club
319,Acapulco,MX,76.6,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
333,Mount Isa,AU,94.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
337,Kloulklubed,PW,86.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
342,Arlit,NE,82.54,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
346,Kalabo,ZM,80.98,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
349,Zambezi,ZM,77.29,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
354,Hambantota,LK,86.45,scattered clouds,6.1241,81.1185,Bungalow 63
355,Mazatlan,MX,83.01,clear sky,23.2167,-106.4167,Hotel Playamar
356,Panacan,PH,82.78,heavy intensity rain,9.2463,118.4082,Mom's Place Resort
361,Trat,TH,86.92,overcast clouds,12.5,102.5,สวนหนิง-อัศ
362,Santa Cruz,BO,80.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
374,Pocone,BR,77.74,scattered clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
376,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
379,Aklera,IN,81.3,clear sky,24.4167,76.5667,hotel sangam palace
381,Kutum,SD,76.48,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
382,Salinopolis,BR,78.64,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
390,Pangkalanbuun,ID,82.08,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
392,Narrabri,AU,94.51,clear sky,-30.3167,149.7833,Crossroads Hotel
394,Cayenne,GF,77.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
406,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
409,Boromo,BF,76.21,scattered clouds,11.75,-2.9333,Sama Camp
415,Maiduguri,NG,82.33,few clouds,11.8464,13.1603,Kagel Mari Police Station
416,Yulara,AU,85.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
420,Mecca,SA,89.31,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
422,Flinders,AU,79.21,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
433,Tonantins,BR,75.79,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
436,Dicabisagan,PH,83.12,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
437,Jibuti,DJ,85.42,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
438,Sao Jose Da Coroa Grande,BR,76.01,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
442,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
448,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
450,Mzimba,MW,79.92,clear sky,-11.9,33.6,Zagegs Hotel
453,Amuntai,ID,93.65,overcast clouds,-2.4177,115.2494,Hotel Balqis
461,Dubbo,AU,77.13,thunderstorm,-32.25,148.6167,Comfort Inn Blue Lagoon
464,Harper,LR,76.95,light rain,4.375,-7.7169,Screensaver
468,Kaffrine,SN,75.09,scattered clouds,14.1059,-15.5508,Beuleup counda motel
471,Kota Bahru,MY,87.8,few clouds,6.1333,102.2386,Grand Riverview Hotel
473,Kathu,TH,85.82,broken clouds,7.9178,98.3332,Novotel Phuket Resort
477,Lorengau,PG,84.47,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
483,Buraydah,SA,77.45,clear sky,26.326,43.975,فندق راحة السلام
489,Kwinana,AU,81.3,clear sky,-32.25,115.7667,Rockingham Apartments
491,Srandakan,ID,83.91,overcast clouds,-7.9386,110.2506,Puri Brata
493,Waingapu,ID,87.62,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
495,Ambilobe,MG,91.36,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
498,Baleshwar,IN,85.14,clear sky,21.4942,86.9317,Banjara Hotels Pvt Ltd
512,Sarangani,PH,81.81,overcast clouds,5.4033,125.4636,Ballistic Islet
515,Chabahar,IR,82.31,clear sky,25.2919,60.643,هتل گدروشیا
521,Tual,ID,84.15,broken clouds,-5.6667,132.75,Grand Vilia Hotel
526,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
527,Tarakan,ID,85.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
528,Akyab,MM,82.98,overcast clouds,20.15,92.9,Hotel Memory
536,Barpeta,IN,84.29,clear sky,26.3167,91.0,MJ GUEST HOUSE
544,Mandera,KE,83.01,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
545,Fare,PF,77.23,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
551,Alyangula,AU,87.22,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
553,Pailon,BO,81.5,few clouds,-17.65,-62.75,Alojamiento pailon
554,Katobu,ID,89.08,scattered clouds,-4.9408,122.5276,La Ode Husein
558,Teknaf,BD,83.26,overcast clouds,20.8624,92.3058,Forestry Guesthouse
559,Iracoubo,GF,77.7,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
560,Batasan,PH,83.95,overcast clouds,12.7667,120.7833,CORDERO Beach Resort
565,Bhakkar,PK,81.73,clear sky,31.6253,71.0657,Gorcha Nashaib
568,Dungarpur,IN,82.04,clear sky,23.8333,73.7167,Gayatri Hotel
570,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
571,Airai,TL,75.34,scattered clouds,-8.9266,125.4092,Juvinal Martin
572,Maxixe,MZ,78.62,scattered clouds,-23.8597,35.3472,Oceano
576,Samarai,PG,81.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
577,Yaring,TH,87.84,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
583,Chiang Klang,TH,87.13,overcast clouds,19.2938,100.8617,Sangthong Resort
589,Bima,ID,93.33,overcast clouds,-8.4667,118.7167,Lambitu Hotel
593,Karaton,ID,89.76,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
606,Tete,MZ,84.29,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
608,Kapit,MY,84.65,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
609,Sambava,MG,81.54,broken clouds,-14.2667,50.1667,Melrose
611,Barreirinha,BR,76.37,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
614,Abu Dhabi,AE,89.71,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
620,Qui Nhon,VN,77.68,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
624,Mogadishu,SO,81.66,few clouds,2.0371,45.3438,Hotel Juba
630,Boyolangu,ID,87.96,overcast clouds,-8.1181,111.8935,Yos ega cv
631,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
632,Rio Grande City,US,76.75,overcast clouds,26.3798,-98.8203,La Borde House
634,Canutama,BR,75.27,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
637,Ampanihy,MG,77.23,overcast clouds,-24.7,44.75,Angora Hotel
645,Namwala,ZM,82.53,broken clouds,-15.7504,26.4384,Corner Point Lodge
648,Port Macquarie,AU,82.36,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
650,Biak,ID,85.35,broken clouds,-0.9131,122.8766,Penginapan Kim
653,Tura,IN,79.7,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
655,Aswan,EG,75.07,clear sky,24.0934,32.907,Nuba Nile
663,Namatanai,PG,83.86,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
664,Samfya,ZM,82.94,scattered clouds,-11.3649,29.5565,Chita Lodge Samfya
667,Pemangkat,ID,84.69,moderate rain,1.1667,108.9667,Ramah Kost KITA
671,Carutapera,BR,77.13,overcast clouds,-1.195,-46.02,Lidera
673,Trairi,BR,80.49,overcast clouds,-3.2778,-39.2689,janelas do mar
675,Miri,MY,84.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
679,Saint-Pierre,RE,83.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
681,Arecibo,PR,80.08,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
